"Table 11.3: trends in age group and presenting substances, new presentations to treatment",,,,,,,,,,,,,,,,,,,,,,,,,
This worksheet contains one table. Some cells refer to notes that can be found at the bottom of the worksheet.,,,,,,,,,,,,,,,,,,,,,,,,,
Percentages may equal 0% or not sum to 100% due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,
Link back to the index,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Substance,18-19 (number),18-19 (%),20-24 (number),20-24 (%),25-29 (number),25-29 (%),30-34 (number),30-34 (%),35-39 (number),35-39 (%),40-44 (number),40-44 (%),45-49 (number),45-49 (%),50-54 (number),50-54 (%),55-59 (number),55-59 (%),60-64 (number),60-64 (%),65+ (number),65+ (%),Total (number),Total (%)
,Other drug use,,,,,,,,,,,,,,,,,,,,,,,,
,Cannabis,"1,674",69.4,"4,117",49.9,"4,544",30.7,"4,333",21.9,"3,725",17.2,"2,568",14.2,"2,072",12.8,"1,289",10.8,609,8.3,179,4.9,59,1.9,"25,169",19.8
,Cocaine,628,26,"2,503",30.3,"3,972",26.8,"4,094",20.6,"3,010",13.9,"1,708",9.4,"1,095",6.8,542,4.5,176,2.4,55,1.5,13,0.4,"17,796",14
,Amphetamine (other than ecstasy),83,3.4,241,2.9,525,3.5,777,3.9,733,3.4,540,3,397,2.5,244,2,105,1.4,30,0.8,10,0.3,"3,685",2.9
,Benzodiazepine,103,4.3,367,4.4,563,3.8,707,3.6,832,3.8,599,3.3,424,2.6,238,2,92,1.3,52,1.4,80,2.6,"4,057",3.2
,Other,26,1.1,119,1.4,229,1.5,313,1.6,221,1,202,1.1,143,0.9,86,0.7,41,0.6,32,0.9,52,1.7,"1,464",1.1
,Alcohol,,,,,,,,,,,,,,,,,,,,,,,,
,Alcohol,"1,086",45,"3,707",44.9,"7,272",49.1,"9,874",49.8,"11,047",51,"10,695",59.1,"11,113",68.6,"9,178",76.9,"6,263",85.6,"3,305",89.7,"2,857",91.2,"76,397",60
,Total number of individuals [note 1],"2,412",100,"8,254",100,"14,807",100,"19,827",100,"21,660",100,"18,094",100,"16,195",100,"11,928",100,"7,314",100,"3,683",100,"3,133",100,"127,307",100
2018-19,Opiate and/or crack cocaine use,,,,,,,,,,,,,,,,,,,,,,,,
,Opiate (not crack cocaine),101,4.1,669,7.9,"1,890",12.8,"2,848",14.1,"3,913",17.4,"3,202",16.9,"2,421",14.4,"1,502",11.6,605,7.7,268,6.5,146,4.5,"17,565",13.3
,Both opiate and crack cocaine,70,2.8,718,8.5,"2,355",15.9,"4,644",23.1,"6,077",27,"4,732",25,"3,238",19.3,"1,729",13.4,586,7.5,165,4,49,1.5,"24,363",18.4
,Crack cocaine (not opiate),63,2.6,373,4.4,690,4.7,928,4.6,874,3.9,650,3.4,445,2.7,299,2.3,157,2,44,1.1,12,0.4,"4,535",3.4
,Other drug use,,,,,,,,,,,,,,,,,,,,,,,,
,Cannabis,"1,696",68.8,"4,108",48.5,"4,557",30.8,"4,362",21.7,"3,866",17.2,"2,607",13.8,"2,063",12.3,"1,356",10.5,611,7.8,223,5.4,57,1.7,"25,506",19.3
,Cocaine,680,27.6,"2,728",32.2,"4,404",29.8,"4,647",23.1,"3,420",15.2,"1,958",10.4,"1,302",7.8,656,5.1,217,2.8,55,1.3,17,0.5,"20,084",15.2
,Amphetamine (other than ecstasy),68,2.8,231,2.7,467,3.2,689,3.4,671,3,525,2.8,411,2.4,260,2,104,1.3,29,0.7,11,0.3,"3,466",2.6
,Benzodiazepine,148,6,420,5,504,3.4,612,3,786,3.5,625,3.3,456,2.7,244,1.9,95,1.2,40,1,42,1.3,"3,972",3
,Other,30,1.2,156,1.8,273,1.8,310,1.5,305,1.4,226,1.2,192,1.1,102,0.8,53,0.7,24,0.6,38,1.2,"1,709",1.3
,Alcohol,,,,,,,,,,,,,,,,,,,,,,,,
,Alcohol,"1,130",45.9,"3,926",46.3,"7,294",49.3,"10,219",50.7,"11,572",51.4,"10,817",57.2,"11,152",66.4,"9,779",75.8,"6,607",84.4,"3,665",89.3,"3,035",92.6,"79,196",59.9
,Total number of individuals [note 1],"2,464",100,"8,473",100,"14,787",100,"20,144",100,"22,531",100,"18,914",100,"16,783",100,"12,899",100,"7,832",100,"4,105",100,"3,278",100,"132,210",100
2019-20,Opiate and/or crack cocaine use,,,,,,,,,,,,,,,,,,,,,,,,
,Opiate (not crack cocaine),100,4.2,641,7.5,"1,563",10.9,"2,687",13.3,"3,483",15.6,"3,321",17.1,"2,383",14.4,"1,464",11.7,727,8.7,296,7,167,4.9,"16,832",12.7
,Both opiate and crack cocaine,85,3.6,684,8,"2,225",15.5,"4,528",22.5,"5,960",26.7,"5,087",26.2,"3,502",21.2,"1,905",15.2,779,9.4,224,5.3,64,1.9,"25,043",19
,Crack cocaine (not opiate),67,2.8,321,3.8,687,4.8,987,4.9,903,4.1,693,3.6,463,2.8,297,2.4,163,2,46,1.1,24,0.7,"4,651",3.5
,Other drug use,,,,,,,,,,,,,,,,,,,,,,,,
,Cannabis,"1,593",66.9,"4,124",48.4,"4,657",32.4,"4,547",22.6,"3,777",16.9,"2,761",14.2,"2,103",12.7,"1,368",10.9,696,8.4,248,5.9,70,2.1,"25,944",19.6
,Cocaine,681,28.6,"2,861",33.6,"4,428",30.8,"4,899",24.3,"3,857",17.3,"2,280",11.7,"1,334",8.1,690,5.5,286,3.4,61,1.4,19,0.6,"21,396",16.2
,Amphetamine (other than ecstasy),59,2.5,197,2.3,351,2.4,633,3.1,614,2.8,498,2.6,375,2.3,232,1.9,99,1.2,25,0.6,8,0.2,"3,091",2.3
,Benzodiazepine,153,6.4,411,4.8,519,3.6,632,3.1,766,3.4,685,3.5,476,2.9,235,1.9,125,1.5,44,1,37,1.1,"4,083",3.1
,Other,40,1.7,150,1.8,294,2,414,2.1,380,1.7,296,1.5,202,1.2,125,1,60,0.7,28,0.7,27,0.8,"2,016",1.5
,Alcohol,,,,,,,,,,,,,,,,,,,,,,,,
,Alcohol,"1,078",45.3,"3,984",46.8,"7,263",50.6,"10,312",51.2,"11,604",52.1,"10,754",55.4,"10,653",64.5,"9,186",73.3,"6,804",81.8,"3,708",87.7,"3,126",92.3,"78,472",59.4
,Total number of individuals [note 1],"2,380",100,"8,520",100,"14,361",100,"20,160",100,"22,292",100,"19,423",100,"16,521",100,"12,534",100,"8,319",100,"4,228",100,"3,386",100,"132,124",100
2020-21,Opiate and/or crack cocaine use,,,,,,,,,,,,,,,,,,,,,,,,
,Opiate (not crack cocaine),145,5.8,646,7,"1,492",10.4,"2,570",12.7,"3,105",14.6,"3,231",17.1,"2,307",14.5,"1,445",11.7,758,9.3,268,6.4,165,4.9,"16,132",12.4
,Both opiate and crack cocaine,60,2.4,541,5.9,"1,756",12.2,"3,839",18.9,"4,878",22.9,"4,491",23.7,"3,008",18.9,"1,760",14.3,714,8.8,207,4.9,54,1.6,"21,308",16.3
,Crack cocaine (not opiate),51,2,309,3.3,692,4.8,943,4.7,918,4.3,665,3.5,445,2.8,296,2.4,150,1.8,53,1.3,23,0.7,"4,545",3.5
,Other drug use,,,,,,,,,,,,,,,,,,,,,,,,
,Cannabis,"1,701",68.1,"4,673",50.6,"5,096",35.4,"4,994",24.7,"3,886",18.2,"2,710",14.3,"1,999",12.6,"1,319",10.7,646,7.9,199,4.7,81,2.4,"27,304",20.9
,Cocaine,549,22,"2,551",27.6,"3,874",26.9,"4,525",22.3,"3,482",16.3,"2,132",11.3,"1,134",7.1,622,5.1,252,3.1,71,1.7,17,0.5,"19,209",14.7
,Amphetamine (other than ecstasy),39,1.6,149,1.6,303,2.1,566,2.8,517,2.4,429,2.3,331,2.1,178,1.4,87,1.1,34,0.8,14,0.4,"2,647",2
,Benzodiazepine,196,7.9,579,6.3,611,4.2,691,3.4,675,3.2,632,3.3,449,2.8,268,2.2,119,1.5,51,1.2,50,1.5,"4,321",3.3
,Other,46,1.8,175,1.9,302,2.1,410,2,362,1.7,263,1.4,193,1.2,106,0.9,54,0.7,34,0.8,28,0.8,"1,973",1.5
,Alcohol,,,,,,,,,,,,,,,,,,,,,,,,
,Alcohol,"1,097",44,"4,288",46.4,"7,228",50.2,"10,771",53.2,"11,688",54.9,"10,613",56.1,"10,402",65.5,"9,147",74.3,"6,678",81.9,"3,685",87.7,"3,084",92.1,"78,681",60.3
,Total number of individuals [note 1],"2,496",100,"9,239",100,"14,385",100,"20,259",100,"21,305",100,"18,916",100,"15,874",100,"12,314",100,"8,152",100,"4,200",100,"3,350",100,"130,490",100
2021-22,Opiate and/or crack cocaine use,,,,,,,,,,,,,,,,,,,,,,,,
,Opiate (not crack cocaine),105,4.4,516,5.7,"1,207",8.8,"2,183",10.9,"2,661",12.6,"2,905",14.8,"2,121",13.1,"1,449",10.8,747,8.2,287,5.6,200,5,"14,381",10.8
,Both opiate and crack cocaine,46,1.9,433,4.8,"1,390",10.2,"3,162",15.9,"4,234",20,"4,168",21.2,"2,774",17.2,"1,633",12.2,712,7.8,222,4.3,58,1.5,"18,832",14.1
,Crack cocaine (not opiate),41,1.7,277,3,574,4.2,981,4.9,941,4.4,744,3.8,512,3.2,358,2.7,186,2,74,1.4,23,0.6,"4,711",3.5
,Other drug use,,,,,,,,,,,,,,,,,,,,,,,,
,Cannabis,"1,558",65.8,"4,559",50,"4,881",35.7,"5,153",25.8,"4,092",19.3,"3,092",15.7,"2,213",13.7,"1,544",11.5,783,8.6,286,5.6,102,2.6,"28,263",21.1
,Cocaine,576,24.3,"2,702",29.6,"3,866",28.3,"4,897",24.5,"3,975",18.8,"2,562",13,"1,465",9.1,808,6,327,3.6,94,1.8,26,0.7,"21,298",15.9
,Benzodiazepines,155,6.5,464,5.1,492,3.6,624,3.1,609,2.9,608,3.1,425,2.6,258,1.9,135,1.5,38,0.7,40,1,"3,848",2.9
,Amphetamine (other than ecstasy),31,1.3,159,1.7,304,2.2,533,2.7,552,2.6,428,2.2,308,1.9,218,1.6,77,0.8,34,0.7,16,0.4,"2,660",2
,Other drug,37,1.6,170,1.9,292,2.1,406,2,422,2,276,1.4,208,1.3,147,1.1,67,0.7,30,0.6,22,0.6,"2,077",1.6
,Alcohol use,,,,,,,,,,,,,,,,,,,,,,,,
,Alcohol,"1,200",50.7,"4,563",50.1,"7,303",53.5,"11,346",56.9,"12,491",59,"11,780",60,"10,881",67.3,"10,174",75.8,"7,530",82.9,"4,589",89.3,"3,679",92.5,"85,536",64
,Total number of people [note 1][note 2],"2,367",100,"9,114",100,"13,655",100,"19,949",100,"21,186",100,"19,646",100,"16,167",100,"13,414",100,"9,087",100,"5,141",100,"3,978",100,"133,704",100
[note 1] The number of people will be fewer than the total of the reported substances as an individual may present with more than one problematic substance ,,,,,,,,,,,,,,,,,,,,,,,,,
